Estabelecimento;CodigoEstabelecimento;UnidadeOrganica;CodigoUnidadeOrganica;Natureza;TipoEnsino;NomeCurso;CodigoCurso;Grau
Universidade dos Açores;0100;Escola Superior de Saúde - Angra do Heroísmo;7092;Público;Politécnico;Enfermagem;9500;Licenciatura 1.º ciclo
Universidade dos Açores;0100;Escola Superior de Saúde - Ponta Delgada;7093;Público;Politécnico;Enfermagem;9500;Licenciatura 1.º ciclo
Universidade dos Açores;0100;Faculdade de Ciências Agrárias e do Ambiente;0140;Público;Universitário;Medicina Veterinária (Preparatórios);8086;Preparatórios de Mestrado Integrado
Universidade dos Açores;0100;Faculdade de Ciências Agrárias e do Ambiente;0140;Público;Universitário;Ciências Agrárias;9022;Licenciatura 1.º ciclo
Universidade dos Açores;0100;Faculdade de Ciências Agrárias e do Ambiente;0140;Público;Universitário;Guias de Natureza e Património;L344;Licenciatura 1.º ciclo
Universidade dos Açores;0100;Faculdade de Ciências e Tecnologia;0160;Público;Universitário;Ciclo Básico de Medicina;8083;Preparatórios de Mestrado Integrado
Universidade dos Açores;0100;Faculdade de Ciências e Tecnologia;0160;Público;Universitário;Protecção Civil e Gestão de Riscos;8524;Licenciatura 1.º ciclo
Universidade dos Açores;0100;Faculdade de Ciências e Tecnologia;0160;Público;Universitário;"Ciências de Engenharia - Engenharia Mecânica; Engenharia Eletrotécnica e de Computadores (Preparatórios)";8571;Preparatórios de Licenciatura 1.º ciclo
Universidade dos Açores;0100;Faculdade de Ciências e Tecnologia;0160;Público;Universitário;Biologia;9011;Licenciatura 1.º ciclo
Universidade dos Açores;0100;Faculdade de Ciências e Tecnologia;0160;Público;Universitário;Informática;9185;Licenciatura 1.º ciclo
Universidade dos Açores;0100;Faculdade de Ciências e Tecnologia;0160;Público;Universitário;Ciências do Oceano (ensino em inglês);A017;Licenciatura 1.º ciclo
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Público;Universitário;Estudos Europeus;9135;Licenciatura 1.º ciclo
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Público;Universitário;História;9181;Licenciatura 1.º ciclo
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Público;Universitário;Psicologia;9219;Licenciatura 1.º ciclo
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Público;Universitário;Serviço Social;9238;Licenciatura 1.º ciclo
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Público;Universitário;Sociologia;9240;Licenciatura 1.º ciclo
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Público;Universitário;Comunicação e Relações Públicas;9652;Licenciatura 1.º ciclo
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Público;Universitário;Educação Básica;9853;Licenciatura 1.º ciclo
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Público;Universitário;Estudos Portugueses e Ingleses;L041;Licenciatura 1.º ciclo
Universidade dos Açores;0100;Faculdade de Economia e Gestão;0170;Público;Universitário;Economia;9081;Licenciatura 1.º ciclo
Universidade dos Açores;0100;Faculdade de Economia e Gestão;0170;Público;Universitário;Gestão;9147;Licenciatura 1.º ciclo
Universidade dos Açores;0100;Faculdade de Economia e Gestão;0170;Público;Universitário;Turismo;9254;Licenciatura 1.º ciclo
Universidade do Algarve;0200;Escola Superior de Educação e Comunicação;3081;Público;Politécnico;Imagem Animada;8337;Licenciatura 1.º ciclo
Universidade do Algarve;0200;Escola Superior de Educação e Comunicação;3081;Público;Politécnico;Ciências da Comunicação;9023;Licenciatura 1.º ciclo
Universidade do Algarve;0200;Escola Superior de Educação e Comunicação;3081;Público;Politécnico;Design de Comunicação;9070;Licenciatura 1.º ciclo
Universidade do Algarve;0200;Escola Superior de Educação e Comunicação;3081;Público;Politécnico;Educação Social;9084;Licenciatura 1.º ciclo
Universidade do Algarve;0200;Escola Superior de Educação e Comunicação;3081;Público;Politécnico;Desporto;9563;Licenciatura 1.º ciclo
Universidade do Algarve;0200;Escola Superior de Educação e Comunicação;3081;Público;Politécnico;Educação Básica;9853;Licenciatura 1.º ciclo
Universidade do Algarve;0200;Escola Superior de Gestão, Hotelaria e Turismo;3082;Público;Politécnico;Gestão;9147;Licenciatura 1.º ciclo
Universidade do Algarve;0200;Escola Superior de Gestão, Hotelaria e Turismo;3082;Público;Politécnico;Gestão (regime nocturno);9148;Licenciatura 1.º ciclo
Universidade do Algarve;0200;Escola Superior de Gestão, Hotelaria e Turismo;3082;Público;Politécnico;Gestão Hoteleira;9173;Licenciatura 1.º ciclo
Universidade do Algarve;0200;Escola Superior de Gestão, Hotelaria e Turismo;3082;Público;Politécnico;Marketing;9205;Licenciatura 1.º ciclo
Universidade do Algarve;0200;Escola Superior de Gestão, Hotelaria e Turismo;3082;Público;Politécnico;Turismo;9254;Licenciatura 1.º ciclo
Universidade do Algarve;0200;Escola Superior de Gestão, Hotelaria e Turismo (Portimão);3087;Público;Politécnico;Gestão;9147;Licenciatura 1.º ciclo
Universidade do Algarve;0200;Escola Superior de Gestão, Hotelaria e Turismo (Portimão);3087;Público;Politécnico;Gestão (regime nocturno);9148;Licenciatura 1.º ciclo
Universidade do Algarve;0200;Escola Superior de Gestão, Hotelaria e Turismo (Portimão);3087;Público;Politécnico;Turismo;9254;Licenciatura 1.º ciclo
Universidade do Algarve;0200;Escola Superior de Saúde;7035;Público;Politécnico;Dietética e Nutrição;8149;Licenciatura 1.º ciclo
Universidade do Algarve;0200;Escola Superior de Saúde;7035;Público;Politécnico;Enfermagem;9500;Licenciatura 1.º ciclo
