OBJECTID,CODUOME,NOMEUO,CODESCME,NOME,SEDE,MORADA,LOCALIDADE,CONCELHO,DISTRITO,CODDSR,CODQZP,CICLO,NATUREZAINSTITUCIONAL_DESC,FAX,URL,EMAIL,TELEFONE,x,y
138723,151312,Agrupamento de Escolas de Castelo de Paiva,614038,"Jardim de Infância de Fornos, Castelo de Paiva",N,Estrada Nacional 502-1,FORNOS CPV,Castelo de Paiva,Aveiro,Norte,QZP.20,Pré-escolar,Redes dos ministérios,,,ji.igrejafornos@escolas.min-edu.pt,255699917,-10430.1102877764,153994.318023966
138724,151312,Agrupamento de Escolas de Castelo de Paiva,611128,"Jardim de Infância de Crava, Castelo de Paiva",N,Loteamento Espinheirinho,SÃO MARTINHO DE SARDOURA,Castelo de Paiva,Aveiro,Norte,QZP.20,Pré-escolar,Redes dos ministérios,,,ji.crava@escolas.min-edu.pt,255614958,-13268.7596177999,155597.986587186
138725,151312,Agrupamento de Escolas de Castelo de Paiva,600337,"Jardim de Infância de Adro, Real, Castelo de Paiva",N,Estrada Nacional 1139,REAL CPV,Castelo de Paiva,Aveiro,Norte,QZP.20,Pré-escolar,Redes dos ministérios,,,ji.adro@escolas.min-edu.pt,255688380,-11294.0306004528,149471.999050014
138726,151312,Agrupamento de Escolas de Castelo de Paiva,340558,Escola Básica e Secundária de Castelo de Paiva,S,"Rua Strecht Vasconcelos, 147 Sobrado",CASTELO DE PAIVA,Castelo de Paiva,Aveiro,Norte,QZP.20,2º Ciclo;3º Ciclo;Secundário;Artistico;Profissional,Redes dos ministérios,255698781,http://www.agrupamentoescolascp.pt,direcao@aecastelo-paiva.edu.gov.pt;servicos@aecastelo-paiva.edu.gov.pt,255690300,-10800.5690793752,152327.372952609
138727,151312,Agrupamento de Escolas de Castelo de Paiva,271317,"Jardim de Infância de São Lourenço, Castelo de Paiva",N,Rua Manuel Carvalho Pereira,BAIRROS,Castelo de Paiva,Aveiro,Norte,QZP.20,Pré-escolar,Redes dos ministérios,,,eb1.slourencobairros@escolas.min-edu.pt,255689551,-9341.03311561836,151889.468310978
138728,151312,Agrupamento de Escolas de Castelo de Paiva,264120,"Escola Básica de Pereire, Sardoura, Castelo de Paiva",N,Pereire - Sardoura,SANTA MARIA DE SARDOURA,Castelo de Paiva,Aveiro,Norte,QZP.20,Pré-escolar;1º Ciclo,Redes dos ministérios,,,eb1.pereire@escolas.min-edu.pt,255699853,-13533.4952076974,154573.767262743
138729,151312,Agrupamento de Escolas de Castelo de Paiva,218534,"Escola Básica de Cruz da Agra, São Martinho, Castelo de Paiva",N,Estrada Nacional 224,SÃO MARTINHO DE SARDOURA,Castelo de Paiva,Aveiro,Norte,QZP.20,1º Ciclo,Redes dos ministérios,,,eb1.cruzdagra@escolas.min-edu.pt,255698140,-12601.850198104,154340.889455909
138730,151312,Agrupamento de Escolas de Castelo de Paiva,215193,"Escola Básica de Cepa, Castelo de Paiva",N,Estrada Nacional 502-1,FORNOS CPV,Castelo de Paiva,Aveiro,Norte,QZP.20,1º Ciclo,Redes dos ministérios,,,eb1.cepa@escolas.min-edu.pt,255698949,-10508.0645755295,154035.075525691
138731,151312,Agrupamento de Escolas de Castelo de Paiva,200475,"Escola Básica de Adro, Real, Castelo de Paiva",N,Estrada Nacional 224,REAL CPV,Castelo de Paiva,Aveiro,Norte,QZP.20,1º Ciclo,Redes dos ministérios,,,eb1.adroreal@escolas.min-edu.pt,255698563,-11132.6747825491,149581.55138896
138732,151312,Agrupamento de Escolas de Castelo de Paiva,637609,"Jardim de Infância de Vista Alegre, São Martinho, Castelo de Paiva",N,Vista Alegre - S. Martinho,SÃO MARTINHO DE SARDOURA,Castelo de Paiva,Aveiro,Norte,QZP.20,Pré-escolar,Redes dos ministérios,,,ji.vistaalegre@escolas.min-edu.pt,255689822,-12870.7178613792,154175.106496724
138733,151312,Agrupamento de Escolas de Castelo de Paiva,277472,"Jardim de Infância de Sá, Castelo de Paiva",N,Sá - Sardoura,SANTA MARIA DE SARDOURA,Castelo de Paiva,Aveiro,Norte,QZP.20,Pré-escolar,Redes dos ministérios,,,eb1.sastamsardoura@escolas.min-edu.pt,255689881,-14852.7184144425,152248.044487167
138734,151312,Agrupamento de Escolas de Castelo de Paiva,236007,"Jardim de Infância de Nojões, Castelo de Paiva",N,Nojões,BAIRROS,Castelo de Paiva,Aveiro,Norte,QZP.20,Pré-escolar,Redes dos ministérios,,,eb1.nojoes@escolas.min-edu.pt,255698715,-12818.4993085589,151392.750260817
138735,151646,"Agrupamento de Escolas de Couto Mineiro do Pejão, Castelo de Paiva",622485,"Jardim de Infância de Oliveira do Arda, Castelo de Paiva",N,Rua Senhora das Amoras,RAIVA,Castelo de Paiva,Aveiro,Norte,QZP.20,Pré-escolar,Redes dos ministérios,,,ji.oliveiraarda@escolas.min-edu.pt,255766836,-18603.0136576551,151857.127668754
138736,151646,"Agrupamento de Escolas de Couto Mineiro do Pejão, Castelo de Paiva",293209,"Escola Básica de Raiva, Castelo de Paiva",N,Rua da Vista Alegre,RAIVA,Castelo de Paiva,Aveiro,Norte,QZP.20,Pré-escolar;1º Ciclo,Redes dos ministérios,,,eb1.raiva@escolas.min-edu.pt,255762578,-17802.0234484264,151938.210310641
138737,151646,"Agrupamento de Escolas de Couto Mineiro do Pejão, Castelo de Paiva",293167,"Escola Básica de Póvoa, Castelo de Paiva",N,Póvoa - Pedorido,PEDORIDO,Castelo de Paiva,Aveiro,Norte,QZP.20,1º Ciclo,Redes dos ministérios,,,eb1.povoapedorido@escolas.min-edu.pt,255766972,-21794.7303141614,152546.240446101
138738,151646,"Agrupamento de Escolas de Couto Mineiro do Pejão, Castelo de Paiva",260174,"Escola Básica de Oliveira do Arda, Castelo de Paiva",N,Av. Jean Tyssen,RAIVA,Castelo de Paiva,Aveiro,Norte,QZP.20,1º Ciclo,Redes dos ministérios,,,eb1.oliveiraarda@escolas.min-edu.pt,255766969,-18923.1144937065,152097.714867186
138739,151646,"Agrupamento de Escolas de Couto Mineiro do Pejão, Castelo de Paiva",346688,"Escola Básica de Couto Mineiro do Pejão, Raiva, Castelo de Paiva",S,Rua de Anastácio Vasconcelos,RAIVA,Castelo de Paiva,Aveiro,Norte,QZP.20,2º Ciclo;3º Ciclo;Artistico,Redes dos ministérios,255760129,http://agcmpejao-m.ccems.pt,direcao@aecmineiro.edu.gov.pt;servicos@aecmineiro.edu.gov.pt,255760120,-19015.3551061429,151839.527207581
138740,151646,"Agrupamento de Escolas de Couto Mineiro do Pejão, Castelo de Paiva",213550,"Escola Básica de Casal da Renda, Castelo de Paiva",N,Estrada Municipal 504,PARAÍSO,Castelo de Paiva,Aveiro,Norte,QZP.20,Pré-escolar;1º Ciclo,Redes dos ministérios,,,eb1.casalrenda@escolas.min-edu.pt,255698742,-14353.6985188581,149265.449389323
138741,,,508688,Jardim Infantil Do Centro Social E Paroquial De Sobrado,N,"R. Prof. Egas Moniz,",CASTELO DE PAIVA,Castelo de Paiva,Aveiro,Norte,QZP.20,Pré-escolar,IPSS ou equiparada,255690589,,ji.cspsobrado@escolas.min-edu.pt,255688481,-11248.5299861261,152486.066172079
138742,,,508676,Jardim Infantil Do Centro Social De Couto Mineiro Do Pejão,N,Av. Jean Tyssen,RAIVA,Castelo de Paiva,Aveiro,Norte,QZP.20,Pré-escolar,IPSS ou equiparada,255762468,,ji.ccmineiropejao@escolas.min-edu.pt,255762426,-19070.9516608927,152190.606842903
138743,,,523537,Academia de Música de Castelo de Paiva,N,"Rua Emídio Navarro, Nº 102",CASTELO DE PAIVA,Castelo de Paiva,Aveiro,Norte,QZP.20,Artistico,Particular,255699282,http://www.amcpaiva.com,esc.mcastelopaiva@escolas.min-edu.pt,255689749,-11902.7043028913,152324.069463623
138744,151312,Agrupamento de Escolas de Castelo de Paiva,806871,Escola Básica de Castelo de Paiva,N,"Rua Nova, 4",CASTELO DE PAIVA,Castelo de Paiva,Aveiro,Norte,QZP.20,Pré-escolar;1º Ciclo,Redes dos ministérios,,,,,-10685.4317608123,152177.513420501
138745,151336,"Agrupamento de Escolas Dr. Manuel Gomes de Almeida, Espinho",245926,Escola Básica n.º 2 de Espinho,N,R. 22 e 29- Apartado 748,ESPINHO,Espinho,Aveiro,Norte,QZP.20,Pré-escolar;1º Ciclo,Redes dos ministérios,227319596,,eb1ji.n2.espinho@escolas.min-edu.pt,227319596,-42583.7973652259,148497.513353844
