OBJECTID,CODUOME,NIF,NOME,TIPOAGRUPAMENTO,MORADA,LOCALIDADE,CONCELHO,DISTRITO,CODESCOLAMESEDE,CODDSR,CODQZP,GRUPONATUREZAINST,NUM_ESCOLAS,FAX,URL,EMAIL,TELEFONE,x,y
13569,150381,600073041,"Agrupamento de Escolas de Monserrate, Viana do Castelo",Agrupada,Avenida do Atlântico,VIANA DO CASTELO,Viana do Castelo,Viana do Castelo,400361,Norte,QZP.02,Publico,8,258801803,www.esmonserrate.org,direcao@monserrate.edu.gov.pt;servicos@monserrate.edu.gov.pt,258801800,-59105.8470620627,225090.222785143
13570,151567,600072800,"Agrupamento de Escolas de Santa Maria Maior, Viana do Castelo",Agrupada,R. Manuel Fiúza Júnior,VIANA DO CASTELO,Viana do Castelo,Viana do Castelo,400427,Norte,QZP.02,Publico,3,258800029,R. Manuel Fiúza Júnior - Viana do Castelo,direcao@aeviana-castelo.edu.gov.pt;servicos@aeviana-castelo.edu.gov.pt,258800020,-57421.7183178275,225800.473104579
13571,151579,600078337,Agrupamento de Escolas de Vila Nova de Cerveira,Agrupada,R. das Cortes,VILA NOVA DE CERVEIRA,Vila Nova de Cerveira,Viana do Castelo,346093,Norte,QZP.02,Publico,4,251795009,http://aevncerveira.fhero.net/,direcao@aevncerveira.edu.gov.pt;servicos@aevncerveira.edu.gov.pt,251795324,-50496.7110383022,252229.98695505
13572,151580,600072819,"Agrupamento de Escolas de Arga e Lima, Viana do Castelo",Agrupada,Alameda 25 de Abril,LANHESES,Viana do Castelo,Viana do Castelo,346123,Norte,QZP.02,Publico,6,258739141,http://agargalima.ccems.pt,direcao@argaelima.edu.gov.pt;servicos@argaelima.edu.gov.pt,258739140;258739142,-45294.3061948675,229824.067568645
13573,151592,600073360,"Agrupamento de Escolas Pintor José de Brito, Viana do Castelo",Agrupada,R. José de Brito -Santa Marta de  Portuzelo,VIANA DO CASTELO,Viana do Castelo,Viana do Castelo,346020,Norte,QZP.02,Publico,7,258830037,http://www.apjbrito.com/,direcao@apjbrito.edu.gov.pt;servicos@apjbrito.edu.gov.pt,258839160;258839164,-52936.2401785062,226691.199050643
13574,150587,600079244,"Agrupamento de Escolas de Muralhas do Minho, Valença",Agrupada,Av. da Juventude,VALENÇA,Valença,Viana do Castelo,343810,Norte,QZP.01,Publico,9,251822885,http://www.muralhasdominho.com/,direcao@aevalenca.edu.gov.pt;servicos@aevalenca.edu.gov.pt,251809760;251809766,-41882.509699801,262400.908785541
13575,150083,600073688,"Agrupamento de Escolas da Abelheira, Viana do Castelo",Agrupada,Rua José Augusto Vieira,VIANA DO CASTELO,Viana do Castelo,Viana do Castelo,343365,Norte,QZP.02,Publico,5,258809779,http://www.escolasabelheira.com/,direcao@aeabelheira.edu.gov.pt;servicos@aeabelheira.edu.gov.pt,258809770;258821693,-57811.7759849463,226340.992068415
13576,153023,600085619,Agrupamento de Escolas de Monção,Agrupada,"Avenida Portas do Sol, 375",MAZEDO,Monção,Viana do Castelo,403180,Norte,QZP.01,Publico,7,251640841,www.aemoncao.com,direcao@aemoncao.edu.gov.pt;servicos@aemoncao.edu.gov.pt,251640840;251640842,-29751.8444574169,265743.688938751
13577,152584,600066037,"Agrupamento de Escolas de Valdevez, Arcos de Valdevez",Agrupada,R. Dr. Joaquim Carlos da Cunha Cerqueira,ARCOS DE VALDEVEZ,Arcos de Valdevez,Viana do Castelo,340315,Norte,QZP.03,Publico,8,258522372,www.aev.edu.pt,direcao@aev.edu.gov.pt;servicos@aev.edu.gov.pt,258510320,-24001.0087052132,242269.348823931
13578,152596,600076857,Agrupamento de Escolas do Concelho de Caminha,Agrupada,Praça Carolina Santiago,VILARELHO,Caminha,Viana do Castelo,345714,Norte,QZP.02,Publico,14,258721303,http://aecm.edu.pt/,direcao@aesp.edu.gov.pt;servicos@aesp.edu.gov.pt,258719250,-58332.9367136908,244918.708208346
13579,152602,600075427,Agrupamento de Escolas de Melgaço,Agrupada,"Av Capitão Salgueiro Maia, 385",MELGAÇO,Melgaço,Viana do Castelo,345921,Norte,QZP.01,Publico,3,251400409,,direcao@aemelgaco.edu.gov.pt;servicos@aemelgaco.edu.gov.pt,251400400;251400401,-10511.2986023846,270905.797186184
